2021-11-23 17:45:17,816 - mmseg - INFO - Loaded 2000 images
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r101-d8_512x512_160k_ade20k_20200615_105816-fd192bd5.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r101-d8_512x512_160k_ade20k_20200615_105816-fd192bd5.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r101-d8_512x512_160k_ade20k_20200615_105816-fd192bd5.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r101-d8_512x512_160k_ade20k_20200615_105816-fd192bd5.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r101-d8_512x512_160k_ade20k_20200615_105816-fd192bd5.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r101-d8_512x512_160k_ade20k_20200615_105816-fd192bd5.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r101-d8_512x512_160k_ade20k_20200615_105816-fd192bd5.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r101-d8_512x512_160k_ade20k_20200615_105816-fd192bd5.pth
[>>>>>>>>>>>>>>>>>>>>>>>>>>>] 2000/2000, 4.4 task/s, elapsed: 458s, ETA:     0sper class results:

+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
+---------------------+-------+-------+
|         wall        | 73.26 | 87.56 |
|       building      | 78.73 |  91.7 |
|         sky         | 93.49 | 96.92 |
|        floor        | 76.53 | 89.87 |
|         tree        | 72.01 | 86.47 |
|       ceiling       | 80.97 | 89.88 |
|         road        | 78.02 | 87.48 |
|         bed         | 86.28 | 94.05 |
|      windowpane     | 58.51 | 76.62 |
|        grass        | 64.02 | 80.31 |
|       cabinet       | 55.66 | 71.79 |
|       sidewalk      | 61.52 |  79.5 |
|        person       |  75.6 | 90.01 |
|        earth        | 29.87 | 46.98 |
|         door        | 43.02 | 56.77 |
|        table        | 57.59 |  73.5 |
|       mountain      | 50.93 | 69.15 |
|        plant        | 49.56 | 63.28 |
|       curtain       | 66.98 | 81.46 |
|        chair        | 53.13 | 69.48 |
|         car         | 79.93 | 88.08 |
|        water        | 46.56 | 61.83 |
|       painting      |  69.6 |  82.5 |
|         sofa        | 63.58 | 81.86 |
|        shelf        | 35.25 | 54.79 |
|        house        | 31.17 | 38.64 |
|         sea         |  53.1 | 79.55 |
|        mirror       | 60.39 | 71.59 |
|         rug         | 48.55 | 56.47 |
|        field        | 19.92 | 27.05 |
|       armchair      | 37.87 | 51.01 |
|         seat        | 41.82 |  56.8 |
|        fence        | 33.35 | 44.03 |
|         desk        | 40.55 | 55.32 |
|         rock        | 32.38 | 49.53 |
|       wardrobe      | 27.68 | 37.43 |
|         lamp        | 61.61 | 73.36 |
|       bathtub       | 70.13 | 76.37 |
|       railing       | 29.05 | 45.39 |
|       cushion       | 51.54 | 67.85 |
|         base        | 12.22 | 25.33 |
|         box         | 20.44 | 28.38 |
|        column       | 38.14 | 46.31 |
|      signboard      | 32.53 | 47.05 |
|   chest of drawers  | 33.57 | 56.09 |
|       counter       | 16.22 | 24.42 |
|         sand        | 25.09 |  34.4 |
|         sink        | 65.29 | 79.37 |
|      skyscraper     | 25.22 | 28.63 |
|      fireplace      | 67.18 | 83.62 |
|     refrigerator    |  68.4 | 76.67 |
|      grandstand     | 11.22 |  12.4 |
|         path        | 17.05 |  24.8 |
|        stairs       | 31.37 | 40.56 |
|        runway       | 10.33 | 10.66 |
|         case        | 17.12 | 20.33 |
|      pool table     | 90.91 | 94.46 |
|        pillow       | 51.21 | 60.31 |
|     screen door     | 50.91 | 66.01 |
