2021-11-23 14:50:50,157 - mmseg - INFO - Loaded 2000 images
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_r50-d8_512x512_160k_ade20k_20200615_100713-4edbc3b4.pth
[>>>>>>>>>>>>>>>>>>>>>>>>>>] 2000/2000, 1.1 task/s, elapsed: 1813s, ETA:     0sper class results:

+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
+---------------------+-------+-------+
|         wall        | 71.78 | 88.98 |
|       building      | 78.29 | 91.41 |
|         sky         | 92.99 | 96.84 |
|        floor        | 75.86 | 89.72 |
|         tree        | 72.22 | 87.46 |
|       ceiling       | 79.49 | 88.84 |
|         road        | 77.22 | 89.42 |
|         bed         | 85.09 |  93.6 |
|      windowpane     | 57.16 | 75.34 |
|        grass        |  65.7 | 84.59 |
|       cabinet       | 56.57 | 73.27 |
|       sidewalk      | 59.74 | 78.09 |
|        person       | 75.71 | 92.74 |
|        earth        | 29.75 | 43.84 |
|         door        | 40.03 | 51.87 |
|        table        |  54.8 | 68.94 |
|       mountain      | 49.88 |  65.7 |
|        plant        | 50.37 | 64.94 |
|       curtain       | 66.97 | 78.11 |
|        chair        | 53.22 | 69.12 |
|         car         | 81.32 | 89.85 |
|        water        | 51.34 | 72.93 |
|       painting      | 70.75 | 83.41 |
|         sofa        |  59.6 | 77.19 |
|        shelf        | 31.71 | 48.12 |
|        house        | 33.13 | 44.63 |
|         sea         | 52.21 | 67.63 |
|        mirror       | 49.94 | 57.89 |
|         rug         | 48.42 | 57.01 |
|        field        |  15.1 | 20.05 |
|       armchair      | 35.81 | 51.38 |
|         seat        | 38.03 | 44.51 |
|        fence        | 21.98 | 27.52 |
|         desk        | 35.67 |  58.0 |
|         rock        |  34.7 | 51.64 |
|       wardrobe      | 22.47 | 25.35 |
|         lamp        | 60.01 | 73.52 |
|       bathtub       | 67.09 | 74.54 |
|       railing       | 30.97 | 43.68 |
|       cushion       | 53.29 | 67.94 |
|         base        | 12.06 | 19.94 |
|         box         | 17.17 | 22.68 |
|        column       | 37.11 | 46.18 |
|      signboard      | 33.17 | 48.14 |
|   chest of drawers  | 34.71 | 52.49 |
|       counter       | 20.26 | 25.13 |
|         sand        |  14.9 | 18.15 |
|         sink        |  66.1 | 78.21 |
|      skyscraper     | 22.32 |  24.4 |
|      fireplace      | 65.23 | 79.31 |
|     refrigerator    | 66.63 | 71.23 |
|      grandstand     | 29.27 | 35.55 |
|         path        | 15.04 | 21.44 |
|        stairs       | 31.44 | 38.07 |
|        runway       |  2.8  |  2.8  |
|         case        | 13.52 | 15.04 |
|      pool table     | 88.52 | 94.58 |
|        pillow       | 53.55 | 64.73 |
|     screen door     | 42.83 | 47.32 |
|       stairway      | 20.24 | 27.06 |
|        river        | 10.96 | 20.23 |
|        bridge       | 36.08 | 39.38 |
|       bookcase      | 15.54 | 16.87 |
|        blind        | 37.12 |  40.8 |
|     coffee table    | 59.08 | 72.85 |
|        toilet       | 84.95 | 90.18 |
|        flower       | 41.48 | 54.07 |
|         book        | 42.72 |  62.4 |
