2021-11-23 18:42:16,560 - mmseg - INFO - Loaded 2000 images
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_s101-d8_512x512_160k_ade20k_20200807_145416-d3160329.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_s101-d8_512x512_160k_ade20k_20200807_145416-d3160329.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_s101-d8_512x512_160k_ade20k_20200807_145416-d3160329.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_s101-d8_512x512_160k_ade20k_20200807_145416-d3160329.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_s101-d8_512x512_160k_ade20k_20200807_145416-d3160329.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_s101-d8_512x512_160k_ade20k_20200807_145416-d3160329.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_s101-d8_512x512_160k_ade20k_20200807_145416-d3160329.pth
load checkpoint from local path: /data/mmseg_ckpts/model_zoo/fcn/ade20k/fcn_s101-d8_512x512_160k_ade20k_20200807_145416-d3160329.pth
[>>>>>>>>>>>>>>>>>>>>>>>>>>>] 2000/2000, 4.7 task/s, elapsed: 421s, ETA:     0sper class results:

+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
+---------------------+-------+-------+
|         wall        | 74.63 |  87.4 |
|       building      | 80.51 | 91.49 |
|         sky         | 93.21 |  96.5 |
|        floor        | 78.61 | 89.11 |
|         tree        | 71.69 | 87.14 |
|       ceiling       | 81.35 | 89.29 |
|         road        | 83.13 | 89.33 |
|         bed         | 87.86 | 95.35 |
|      windowpane     | 58.77 |  76.7 |
|        grass        | 66.45 |  82.9 |
|       cabinet       | 58.06 | 72.35 |
|       sidewalk      | 63.47 | 78.75 |
|        person       | 77.15 | 89.64 |
|        earth        | 33.09 | 45.79 |
|         door        | 42.18 | 55.39 |
|        table        | 56.29 | 70.84 |
|       mountain      | 49.04 | 63.58 |
|        plant        | 49.93 | 60.84 |
|       curtain       | 71.32 | 83.64 |
|        chair        | 55.22 | 69.39 |
|         car         | 82.33 | 90.37 |
|        water        | 44.66 | 56.03 |
|       painting      | 69.53 | 84.57 |
|         sofa        | 58.87 | 79.18 |
|        shelf        | 42.87 | 58.15 |
|        house        | 46.35 | 63.79 |
|         sea         | 44.56 | 77.29 |
|        mirror       | 61.97 | 71.45 |
|         rug         |  54.9 | 67.51 |
|        field        | 33.37 | 50.52 |
|       armchair      | 36.75 | 50.09 |
|         seat        | 60.27 | 81.02 |
|        fence        | 36.76 | 49.28 |
|         desk        | 46.16 | 68.92 |
|         rock        | 44.08 | 66.81 |
|       wardrobe      | 41.68 |  62.7 |
|         lamp        | 61.45 | 75.45 |
